"region";"ålder";"kön";"2002";"2006";"2010";"2014"
"0513 Kinda";"totalt ålder";"män";5038;4962;4931;4923
"0513 Kinda";"totalt ålder";"kvinnor";4976;4956;4831;4872
"0560 Boxholm";"totalt ålder";"män";2717;2690;2659;2702
"0560 Boxholm";"totalt ålder";"kvinnor";2574;2536;2562;2620
"0561 Åtvidaberg";"totalt ålder";"män";5981;5896;5817;5773
"0561 Åtvidaberg";"totalt ålder";"kvinnor";5906;5879;5687;5699
"0562 Finspång";"totalt ålder";"män";10730;10551;10506;10747
"0562 Finspång";"totalt ålder";"kvinnor";10478;10261;10241;10403
"0563 Valdemarsvik";"totalt ålder";"män";4164;4022;3897;3914
"0563 Valdemarsvik";"totalt ålder";"kvinnor";4066;4016;3863;3743
"0580 Linköping";"totalt ålder";"män";67773;69725;74113;76939
"0580 Linköping";"totalt ålder";"kvinnor";67293;68855;72303;74942
"0581 Norrköping";"totalt ålder";"män";60799;61994;64556;67233
"0581 Norrköping";"totalt ålder";"kvinnor";62504;63469;65494;68050
"0582 Söderköping";"totalt ålder";"män";7044;6992;7029;7165
"0582 Söderköping";"totalt ålder";"kvinnor";6965;7059;6995;7103
"0583 Motala";"totalt ålder";"män";20998;20915;21027;21415
"0583 Motala";"totalt ålder";"kvinnor";21080;21044;20928;21141
"0584 Vadstena";"totalt ålder";"män";3723;3690;3602;3619
"0584 Vadstena";"totalt ålder";"kvinnor";3906;3851;3789;3774
"0586 Mjölby";"totalt ålder";"män";12604;12677;13001;13336
"0586 Mjölby";"totalt ålder";"kvinnor";12549;12671;12855;13092
"0604 Aneby";"totalt ålder";"män";3340;3317;3281;3302
"0604 Aneby";"totalt ålder";"kvinnor";3291;3234;3112;3124
"0617 Gnosjö";"totalt ålder";"män";5110;4903;4900;4891
"0617 Gnosjö";"totalt ålder";"kvinnor";4887;4695;4646;4618
"0642 Mullsjö";"totalt ålder";"män";3566;3551;3528;3547
"0642 Mullsjö";"totalt ålder";"kvinnor";3558;3524;3505;3562
"0643 Habo";"totalt ålder";"män";4812;5111;5420;5617
"0643 Habo";"totalt ålder";"kvinnor";4772;5011;5321;5493
"0662 Gislaved";"totalt ålder";"män";15174;14861;14706;14541
"0662 Gislaved";"totalt ålder";"kvinnor";14802;14466;14405;14196
"0665 Vaggeryd";"totalt ålder";"män";6287;6432;6534;6648
"0665 Vaggeryd";"totalt ålder";"kvinnor";6316;6384;6457;6581
"0680 Jönköping";"totalt ålder";"män";58052;60021;62876;65736
"0680 Jönköping";"totalt ålder";"kvinnor";60529;62173;64506;66404
"0682 Nässjö";"totalt ålder";"män";14546;14679;14708;15187
"0682 Nässjö";"totalt ålder";"kvinnor";14795;14690;14631;14720
"0683 Värnamo";"totalt ålder";"män";15958;16321;16370;16732
"0683 Värnamo";"totalt ålder";"kvinnor";16294;16520;16463;16602
"0684 Sävsjö";"totalt ålder";"män";5527;5533;5490;5680
"0684 Sävsjö";"totalt ålder";"kvinnor";5448;5452;5340;5420
"0685 Vetlanda";"totalt ålder";"män";13361;13379;13343;13585
"0685 Vetlanda";"totalt ålder";"kvinnor";13067;13001;12961;13062
"0686 Eksjö";"totalt ålder";"män";8266;8231;8096;8288
"0686 Eksjö";"totalt ålder";"kvinnor";8495;8285;8148;8310
"0687 Tranås";"totalt ålder";"män";8780;8828;9035;9251
"0687 Tranås";"totalt ålder";"kvinnor";8938;8937;9084;9165
"0760 Uppvidinge";"totalt ålder";"män";4871;4890;4773;4784
"0760 Uppvidinge";"totalt ålder";"kvinnor";4709;4618;4471;4438
"0761 Lessebo";"totalt ålder";"män";4126;4066;4143;4242
"0761 Lessebo";"totalt ålder";"kvinnor";4129;4033;3996;4014
"0763 Tingsryd";"totalt ålder";"män";6762;6476;6203;6173
"0763 Tingsryd";"totalt ålder";"kvinnor";6413;6236;6028;6025
"0764 Alvesta";"totalt ålder";"män";9600;9502;9591;9966
"0764 Alvesta";"totalt ålder";"kvinnor";9330;9239;9211;9537
"0765 Älmhult";"totalt ålder";"män";7788;7703;7820;8039
"0765 Älmhult";"totalt ålder";"kvinnor";7656;7665;7783;7869
"0767 Markaryd";"totalt ålder";"män";4770;4827;4855;4843
"0767 Markaryd";"totalt ålder";"kvinnor";4845;4786;4764;4706
"0780 Växjö";"totalt ålder";"män";37287;39150;41576;43716
"0780 Växjö";"totalt ålder";"kvinnor";37749;39323;41429;43254
"0781 Ljungby";"totalt ålder";"män";13552;13667;13782;13955
"0781 Ljungby";"totalt ålder";"kvinnor";13391;13454;13515;13567
"0821 Högsby";"totalt ålder";"män";3207;3066;2954;2940
"0821 Högsby";"totalt ålder";"kvinnor";3093;2967;2823;2842
"0834 Torsås";"totalt ålder";"män";3741;3661;3617;3612
"0834 Torsås";"totalt ålder";"kvinnor";3552;3493;3345;3313
"0840 Mörbylånga";"totalt ålder";"män";6588;6610;6856;7141
"0840 Mörbylånga";"totalt ålder";"kvinnor";6842;6910;7165;7357
"0860 Hultsfred";"totalt ålder";"män";7505;7243;6954;7032
"0860 Hultsfred";"totalt ålder";"kvinnor";7388;7063;6742;6706
"0861 Mönsterås";"totalt ålder";"män";6611;6582;6479;6611
"0861 Mönsterås";"totalt ålder";"kvinnor";6609;6529;6430;6446
"0862 Emmaboda";"totalt ålder";"män";4950;4788;4680;4600
"0862 Emmaboda";"totalt ålder";"kvinnor";4740;4648;4507;4409
"0880 Kalmar";"totalt ålder";"män";29369;30028;30947;31981
"0880 Kalmar";"totalt ålder";"kvinnor";30697;31293;31868;32695
"0881 Nybro";"totalt ålder";"män";9941;9868;9906;10032
"0881 Nybro";"totalt ålder";"kvinnor";9930;9812;9745;9682
"0882 Oskarshamn";"totalt ålder";"män";13045;13109;13105;13279
"0882 Oskarshamn";"totalt ålder";"kvinnor";13116;13135;13058;13022
"0883 Västervik";"totalt ålder";"män";18225;18057;17941;17947
"0883 Västervik";"totalt ålder";"kvinnor";18688;18343;18265;17973
"0884 Vimmerby";"totalt ålder";"män";7860;7852;7837;7801
"0884 Vimmerby";"totalt ålder";"kvinnor";7768;7736;7636;7496
"0885 Borgholm";"totalt ålder";"män";5515;5441;5306;5357
"0885 Borgholm";"totalt ålder";"kvinnor";5647;5542;5370;5324
"0980 Gotland";"totalt ålder";"män";28348;28296;28379;28455
"0980 Gotland";"totalt ålder";"kvinnor";29033;29001;28890;28800
"1060 Olofström";"totalt ålder";"män";6911;6757;6582;6650
"1060 Olofström";"totalt ålder";"kvinnor";6726;6598;6406;6381
"1080 Karlskrona";"totalt ålder";"män";30193;31019;32641;32770
"1080 Karlskrona";"totalt ålder";"kvinnor";30483;30825;31391;31578
"1081 Ronneby";"totalt ålder";"män";14464;14587;14537;14302
"1081 Ronneby";"totalt ålder";"kvinnor";14008;13856;13717;13919
"1082 Karlshamn";"totalt ålder";"män";15424;15668;15593;15882
"1082 Karlshamn";"totalt ålder";"kvinnor";15315;15511;15550;15716
"1083 Sölvesborg";"totalt ålder";"män";8085;8331;8496;8560
"1083 Sölvesborg";"totalt ålder";"kvinnor";8266;8284;8314;8399
"1214 Svalöv";"totalt ålder";"män";6475;6696;6798;6995
"1214 Svalöv";"totalt ålder";"kvinnor";6230;6359;6444;6465
"1230 Staffanstorp";"totalt ålder";"män";10005;10343;11037;11369
"1230 Staffanstorp";"totalt ålder";"kvinnor";10105;10497;11222;11625
"1231 Burlöv";"totalt ålder";"män";7541;7776;8376;8653
"1231 Burlöv";"totalt ålder";"kvinnor";7785;7886;8325;8558
"1233 Vellinge";"totalt ålder";"män";15371;15957;16550;16798
"1233 Vellinge";"totalt ålder";"kvinnor";15716;16313;16753;17312
"1256 Östra Göinge";"totalt ålder";"män";7078;7006;6926;7079
"1256 Östra Göinge";"totalt ålder";"kvinnor";7009;6880;6664;6785
"1257 Örkelljunga";"totalt ålder";"män";4775;4811;4869;4938
"1257 Örkelljunga";"totalt ålder";"kvinnor";4644;4718;4762;4795
"1260 Bjuv";"totalt ålder";"män";6849;7163;7489;7525
"1260 Bjuv";"totalt ålder";"kvinnor";6825;7036;7352;7369
"1261 Kävlinge";"totalt ålder";"män";12577;13745;14537;14919
"1261 Kävlinge";"totalt ålder";"kvinnor";12614;13624;14476;14889
"1262 Lomma";"totalt ålder";"män";8961;9612;10640;11419
