"region";"ålder";"kön";"2002";"2006";"2010";"2014"
"1784 Arvika";"totalt ålder";"kvinnor";13333;13130;13094;12945
"1785 Säffle";"totalt ålder";"män";8156;8020;7840;7694
"1785 Säffle";"totalt ålder";"kvinnor";8133;7953;7707;7640
"1814 Lekeberg";"totalt ålder";"män";3639;3681;3691;3825
"1814 Lekeberg";"totalt ålder";"kvinnor";3388;3415;3443;3538
"1860 Laxå";"totalt ålder";"män";3282;3073;2893;2921
"1860 Laxå";"totalt ålder";"kvinnor";3189;2973;2793;2743
"1861 Hallsberg";"totalt ålder";"män";7906;7775;7785;7816
"1861 Hallsberg";"totalt ålder";"kvinnor";7745;7512;7490;7499
"1862 Degerfors";"totalt ålder";"män";5295;5073;4915;4883
"1862 Degerfors";"totalt ålder";"kvinnor";5011;4941;4726;4648
"1863 Hällefors";"totalt ålder";"män";3902;3776;3624;3546
"1863 Hällefors";"totalt ålder";"kvinnor";3892;3763;3596;3390
"1864 Ljusnarsberg";"totalt ålder";"män";2755;2672;2531;2577
"1864 Ljusnarsberg";"totalt ålder";"kvinnor";2727;2571;2400;2336
"1880 Örebro";"totalt ålder";"män";60826;62761;66274;70218
"1880 Örebro";"totalt ålder";"kvinnor";64694;66216;69186;72400
"1881 Kumla";"totalt ålder";"män";9482;9741;10173;10522
"1881 Kumla";"totalt ålder";"kvinnor";9623;9902;10283;10494
"1882 Askersund";"totalt ålder";"män";5722;5726;5676;5631
"1882 Askersund";"totalt ålder";"kvinnor";5727;5744;5602;5488
"1883 Karlskoga";"totalt ålder";"män";15118;14970;14722;15023
"1883 Karlskoga";"totalt ålder";"kvinnor";15482;15189;14946;15031
"1884 Nora";"totalt ålder";"män";5202;5137;5088;5134
"1884 Nora";"totalt ålder";"kvinnor";5313;5345;5359;5218
"1885 Lindesberg";"totalt ålder";"män";11834;11613;11622;11794
"1885 Lindesberg";"totalt ålder";"kvinnor";11658;11461;11412;11475
"1904 Skinnskatteberg";"totalt ålder";"män";2433;2403;2276;2292
"1904 Skinnskatteberg";"totalt ålder";"kvinnor";2352;2349;2169;2142
"1907 Surahammar";"totalt ålder";"män";5192;5149;5060;5098
"1907 Surahammar";"totalt ålder";"kvinnor";5015;4960;4889;4820
"1960 Kungsör";"totalt ålder";"män";4146;4137;4095;4192
"1960 Kungsör";"totalt ålder";"kvinnor";4076;4074;3994;4077
"1961 Hallstahammar";"totalt ålder";"män";7476;7461;7528;7766
"1961 Hallstahammar";"totalt ålder";"kvinnor";7510;7581;7647;7830
"1962 Norberg";"totalt ålder";"män";2961;2957;2886;2946
"1962 Norberg";"totalt ålder";"kvinnor";2915;2886;2837;2773
"1980 Västerås";"totalt ålder";"män";63721;65811;68143;71587
"1980 Västerås";"totalt ålder";"kvinnor";65181;67109;69064;72115
"1981 Sala";"totalt ålder";"män";10721;10613;10744;10939
"1981 Sala";"totalt ålder";"kvinnor";10942;10747;10791;10986
"1982 Fagersta";"totalt ålder";"män";6129;6105;6266;6688
"1982 Fagersta";"totalt ålder";"kvinnor";6196;6097;6177;6445
"1983 Köping";"totalt ålder";"män";12342;12367;12433;12712
"1983 Köping";"totalt ålder";"kvinnor";12305;12292;12472;12664
"1984 Arboga";"totalt ålder";"män";6759;6659;6619;6836
"1984 Arboga";"totalt ålder";"kvinnor";6815;6732;6666;6795
"2021 Vansbro";"totalt ålder";"män";3656;3523;3448;3410
"2021 Vansbro";"totalt ålder";"kvinnor";3579;3460;3357;3284
"2023 Malung-Sälen";"totalt ålder";"män";5386;5353;5274;5114
"2023 Malung-Sälen";"totalt ålder";"kvinnor";5207;5165;5082;4855
"2026 Gagnef";"totalt ålder";"män";5096;5097;5147;5137
"2026 Gagnef";"totalt ålder";"kvinnor";4912;4983;4950;4887
"2029 Leksand";"totalt ålder";"män";7568;7644;7602;7626
"2029 Leksand";"totalt ålder";"kvinnor";7733;7806;7687;7626
"2031 Rättvik";"totalt ålder";"män";5386;5384;5347;5394
"2031 Rättvik";"totalt ålder";"kvinnor";5512;5500;5464;5354
"2034 Orsa";"totalt ålder";"män";3492;3497;3490;3476
"2034 Orsa";"totalt ålder";"kvinnor";3523;3529;3432;3336
"2039 Älvdalen";"totalt ålder";"män";3850;3773;3684;3618
"2039 Älvdalen";"totalt ålder";"kvinnor";3767;3646;3523;3434
"2061 Smedjebacken";"totalt ålder";"män";5620;5404;5432;5486
"2061 Smedjebacken";"totalt ålder";"kvinnor";5537;5311;5283;5226
"2062 Mora";"totalt ålder";"män";9972;10089;10024;10055
"2062 Mora";"totalt ålder";"kvinnor";10052;10070;10129;9951
"2080 Falun";"totalt ålder";"män";26901;27233;27651;28113
"2080 Falun";"totalt ålder";"kvinnor";27940;28034;28393;28783
"2081 Borlänge";"totalt ålder";"män";23592;23841;24834;25473
"2081 Borlänge";"totalt ålder";"kvinnor";23457;23558;24417;25242
"2082 Säter";"totalt ålder";"män";5577;5583;5499;5532
"2082 Säter";"totalt ålder";"kvinnor";5466;5408;5341;5354
"2083 Hedemora";"totalt ålder";"män";7749;7611;7573;7564
"2083 Hedemora";"totalt ålder";"kvinnor";7835;7769;7591;7521
"2084 Avesta";"totalt ålder";"män";11149;11044;10857;11120
"2084 Avesta";"totalt ålder";"kvinnor";11147;10919;10726;10902
"2085 Ludvika";"totalt ålder";"män";12925;12673;12963;13102
"2085 Ludvika";"totalt ålder";"kvinnor";13050;12804;12847;12928
"2101 Ockelbo";"totalt ålder";"män";3115;3065;2989;2921
"2101 Ockelbo";"totalt ålder";"kvinnor";2986;2973;2947;2844
"2104 Hofors";"totalt ålder";"män";5236;5126;4973;4836
"2104 Hofors";"totalt ålder";"kvinnor";5136;4965;4768;4595
"2121 Ovanåker";"totalt ålder";"män";6124;5963;5794;5827
"2121 Ovanåker";"totalt ålder";"kvinnor";6069;5853;5646;5605
"2132 Nordanstig";"totalt ålder";"män";5118;4998;4941;4906
"2132 Nordanstig";"totalt ålder";"kvinnor";4903;4812;4670;4587
"2161 Ljusdal";"totalt ålder";"män";9910;9674;9586;9548
"2161 Ljusdal";"totalt ålder";"kvinnor";9866;9569;9479;9401
"2180 Gävle";"totalt ålder";"män";45022;45628;47053;48752
"2180 Gävle";"totalt ålder";"kvinnor";46254;46788;48002;49562
"2181 Sandviken";"totalt ålder";"män";18488;18532;18616;19078
"2181 Sandviken";"totalt ålder";"kvinnor";18277;18216;18300;18755
"2182 Söderhamn";"totalt ålder";"män";13589;13110;12880;12831
"2182 Söderhamn";"totalt ålder";"kvinnor";13661;13147;12767;12625
"2183 Bollnäs";"totalt ålder";"män";13008;12996;13047;13177
"2183 Bollnäs";"totalt ålder";"kvinnor";13202;13282;13201;13217
"2184 Hudiksvall";"totalt ålder";"män";18287;18290;18281;18387
"2184 Hudiksvall";"totalt ålder";"kvinnor";18761;18666;18568;18537
"2260 Ånge";"totalt ålder";"män";5500;5366;5136;4905
"2260 Ånge";"totalt ålder";"kvinnor";5448;5238;4917;4579
"2262 Timrå";"totalt ålder";"män";8997;9020;9094;9156
"2262 Timrå";"totalt ålder";"kvinnor";8787;8850;8896;8869
"2280 Härnösand";"totalt ålder";"män";12313;12366;12114;12285
"2280 Härnösand";"totalt ålder";"kvinnor";12880;12714;12497;12470
"2281 Sundsvall";"totalt ålder";"män";46457;46948;47503;48533
"2281 Sundsvall";"totalt ålder";"kvinnor";46795;47568;48229;48805
"2282 Kramfors";"totalt ålder";"män";10335;9954;9554;9398
"2282 Kramfors";"totalt ålder";"kvinnor";10376;9862;9357;9037
"2283 Sollefteå";"totalt ålder";"män";10622;10348;10167;9983
"2283 Sollefteå";"totalt ålder";"kvinnor";10762;10501;10088;9793
"2284 Örnsköldsvik";"totalt ålder";"män";27497;27675;27559;27795
"2284 Örnsköldsvik";"totalt ålder";"kvinnor";27550;27568;27514;27453
"2303 Ragunda";"totalt ålder";"män";3088;2914;2821;2772
"2303 Ragunda";"totalt ålder";"kvinnor";2991;2892;2769;2668
"2305 Bräcke";"totalt ålder";"män";3820;3725;3598;3374
"2305 Bräcke";"totalt ålder";"kvinnor";3586;3477;3287;3089
"2309 Krokom";"totalt ålder";"män";7172;7290;7422;7521
"2309 Krokom";"totalt ålder";"kvinnor";6833;6980;7113;7127
"2313 Strömsund";"totalt ålder";"män";6850;6514;6259;6137
"2313 Strömsund";"totalt ålder";"kvinnor";6521;6268;5926;5736
"2321 Åre";"totalt ålder";"män";4958;5134;5253;5428
"2321 Åre";"totalt ålder";"kvinnor";4734;4887;5021;5127
"2326 Berg";"totalt ålder";"män";4059;3920;3769;3661
"2326 Berg";"totalt ålder";"kvinnor";3890;3672;3583;3406
"2361 Härjedalen";"totalt ålder";"män";5786;5460;5338;5322
"2361 Härjedalen";"totalt ålder";"kvinnor";5503;5304;5116;4902
"2380 Östersund";"totalt ålder";"män";28352;28432;28893;29477
"2380 Östersund";"totalt ålder";"kvinnor";29804;30151;30523;31018
"2401 Nordmaling";"totalt ålder";"män";3785;3749;3625;3632
"2401 Nordmaling";"totalt ålder";"kvinnor";3788;3677;3473;3453
"2403 Bjurholm";"totalt ålder";"män";1336;1300;1274;1259
"2403 Bjurholm";"totalt ålder";"kvinnor";1272;1241;1186;1192
"2404 Vindeln";"totalt ålder";"män";2990;2833;2756;2732
"2404 Vindeln";"totalt ålder";"kvinnor";2970;2832;2751;2651
"2409 Robertsfors";"totalt ålder";"män";3640;3547;3482;3459
"2409 Robertsfors";"totalt ålder";"kvinnor";3528;3449;3349;3265
"2417 Norsjö";"totalt ålder";"män";2284;2251;2193;2164
"2417 Norsjö";"totalt ålder";"kvinnor";2257;2186;2111;2016
"2418 Malå";"totalt ålder";"män";1804;1695;1632;1562
"2418 Malå";"totalt ålder";"kvinnor";1749;1653;1642;1553
"2421 Storuman";"totalt ålder";"män";3440;3288;3123;3012
"2421 Storuman";"totalt ålder";"kvinnor";3239;3144;2997;2943
"2422 Sorsele";"totalt ålder";"män";1574;1477;1429;1373
"2422 Sorsele";"totalt ålder";"kvinnor";1472;1390;1307;1192
"2425 Dorotea";"totalt ålder";"män";1652;1579;1495;1456
"2425 Dorotea";"totalt ålder";"kvinnor";1595;1490;1383;1301
"2460 Vännäs";"totalt ålder";"män";4232;4195;4217;4392
"2460 Vännäs";"totalt ålder";"kvinnor";4247;4241;4197;4224
"2462 Vilhelmina";"totalt ålder";"män";3918;3729;3643;3493
"2462 Vilhelmina";"totalt ålder";"kvinnor";3737;3551;3492;3355
"2463 Åsele";"totalt ålder";"män";1769;1645;1575;1466
"2463 Åsele";"totalt ålder";"kvinnor";1730;1626;1464;1372
"2480 Umeå";"totalt ålder";"män";52797;55395;57769;59843
"2480 Umeå";"totalt ålder";"kvinnor";53728;55840;57704;59770
"2481 Lycksele";"totalt ålder";"män";6383;6260;6146;6117
"2481 Lycksele";"totalt ålder";"kvinnor";6501;6352;6230;6091
"2482 Skellefteå";"totalt ålder";"män";35707;35966;35949;36364
"2482 Skellefteå";"totalt ålder";"kvinnor";36106;36000;35692;35660
"2505 Arvidsjaur";"totalt ålder";"män";3551;3415;3308;3276
"2505 Arvidsjaur";"totalt ålder";"kvinnor";3466;3376;3221;3208
"2506 Arjeplog";"totalt ålder";"män";1709;1626;1631;1535
"2506 Arjeplog";"totalt ålder";"kvinnor";1582;1525;1530;1372
"2510 Jokkmokk";"totalt ålder";"män";2932;2791;2639;2605
"2510 Jokkmokk";"totalt ålder";"kvinnor";2850;2700;2531;2481
"2513 Överkalix";"totalt ålder";"män";2113;1987;1855;1782
"2513 Överkalix";"totalt ålder";"kvinnor";1945;1872;1756;1627
"2514 Kalix";"totalt ålder";"män";9032;8859;8552;8367
"2514 Kalix";"totalt ålder";"kvinnor";8773;8537;8188;7940
"2518 Övertorneå";"totalt ålder";"män";2780;2687;2553;2502
"2518 Övertorneå";"totalt ålder";"kvinnor";2611;2481;2259;2209
"2521 Pajala";"totalt ålder";"män";3775;3513;3300;3297
"2521 Pajala";"totalt ålder";"kvinnor";3431;3175;2982;3006
"2523 Gällivare";"totalt ålder";"män";10003;9787;9530;9387
"2523 Gällivare";"totalt ålder";"kvinnor";9417;9172;8895;8844
"2560 Älvsbyn";"totalt ålder";"män";4471;4379;4227;4173
"2560 Älvsbyn";"totalt ålder";"kvinnor";4364;4274;4108;3998
"2580 Luleå";"totalt ålder";"män";36479;37056;37484;38492
"2580 Luleå";"totalt ålder";"kvinnor";35660;36257;36694;37474
"2581 Piteå";"totalt ålder";"män";20260;20508;20433;20833
"2581 Piteå";"totalt ålder";"kvinnor";20271;20435;20459;20675
"2582 Boden";"totalt ålder";"män";13936;13869;13674;14118
"2582 Boden";"totalt ålder";"kvinnor";14332;14133;13797;13769
"2583 Haparanda";"totalt ålder";"män";5303;5244;5132;5011
"2583 Haparanda";"totalt ålder";"kvinnor";5031;4970;4927;4765
"2584 Kiruna";"totalt ålder";"män";12109;11944;11808;12067
"2584 Kiruna";"totalt ålder";"kvinnor";11446;11314;11136;11174
